Subject,Experiment,targetobject,targetaction,block,accuracy,Subjecta
1,nounverb,p8.bmp,Rise,9,0,101
1,nounverb,p1.bmp,Hide,9,1,101
1,nounverb,p4.bmp,Hide,9,1,101
1,nounverb,p1.bmp,Rotate,9,0,101
1,nounverb,p4.bmp,Swing,9,1,101
1,nounverb,p3.bmp,Shake,9,1,101
1,nounverb,p2.bmp,Bounce,9,1,101
1,nounverb,p6.bmp,Rise,9,1,101
1,nounverb,p8.bmp,Bounce,9,1,101
1,nounverb,p6.bmp,Expand,9,1,101
1,nounverb,p5.bmp,Shake,9,0,101
1,nounverb,p5.bmp,Hide,9,1,101
1,nounverb,p4.bmp,Rotate,9,1,101
1,nounverb,p8.bmp,Contract,9,0,101
1,nounverb,p2.bmp,Rise,9,1,101
1,nounverb,p7.bmp,Swing,9,1,101
1,nounverb,p1.bmp,Expand,9,1,101
1,nounverb,p3.bmp,Contract,9,1,101
1,nounverb,p2.bmp,Shake,9,1,101
1,nounverb,p7.bmp,Bounce,10,1,101
1,nounverb,p5.bmp,Contract,10,1,101
1,nounverb,p8.bmp,Hide,10,1,101
1,nounverb,p3.bmp,Expand,10,1,101
1,nounverb,p4.bmp,Shake,10,0,101
1,nounverb,p3.bmp,Shake,10,1,101
1,nounverb,p8.bmp,Rise,10,0,101
1,nounverb,p1.bmp,Contract,10,1,101
1,nounverb,p4.bmp,Swing,10,1,101
1,nounverb,p1.bmp,Hide,10,1,101
1,nounverb,p2.bmp,Rise,10,1,101
1,nounverb,p8.bmp,Bounce,10,1,101
1,nounverb,p2.bmp,Rotate,10,0,101
1,nounverb,p5.bmp,Hide,10,1,101
1,nounverb,p4.bmp,Contract,10,1,101
1,nounverb,p5.bmp,Swing,10,0,101
1,nounverb,p1.bmp,Shake,10,1,101
1,nounverb,p7.bmp,Rotate,10,1,101
1,nounverb,p6.bmp,Rotate,10,1,101
1,nounverb,p7.bmp,Swing,10,0,101
1,nounverb,p2.bmp,Expand,10,1,101
1,nounverb,p6.bmp,Expand,10,1,101
1,nounverb,p6.bmp,Bounce,10,1,101
1,nounverb,p3.bmp,Rise,10,1,101
1,nounverb,p8.bmp,Expand,11,1,101
1,nounverb,p6.bmp,Rotate,11,1,101
1,nounverb,p5.bmp,Bounce,11,1,101
1,nounverb,p4.bmp,Shake,11,0,101
1,nounverb,p3.bmp,Shake,11,1,101
1,nounverb,p3.bmp,Contract,11,1,101
1,nounverb,p1.bmp,Shake,11,1,101
1,nounverb,p2.bmp,Rotate,11,0,101
1,nounverb,p2.bmp,Swing,11,1,101
1,nounverb,p8.bmp,Swing,11,1,101
1,nounverb,p7.bmp,Bounce,11,1,101
1,nounverb,p3.bmp,Rise,11,0,101
1,nounverb,p4.bmp,Contract,11,1,101
1,nounverb,p6.bmp,Hide,11,0,101
1,nounverb,p8.bmp,Rotate,11,1,101
1,nounverb,p2.bmp,Hide,11,1,101
1,nounverb,p7.bmp,Contract,11,1,101
1,nounverb,p1.bmp,Hide,11,1,101
1,nounverb,p4.bmp,Bounce,11,1,101
1,nounverb,p5.bmp,Swing,11,1,101
1,nounverb,p1.bmp,Expand,11,1,101
1,nounverb,p7.bmp,Rise,11,0,101
1,nounverb,p6.bmp,Rise,11,1,101
1,nounverb,p5.bmp,Expand,11,1,101
1,nounverb,p1.bmp,Contract,12,1,101
1,nounverb,p3.bmp,Bounce,12,1,101
1,nounverb,p8.bmp,Shake,12,1,101
1,nounverb,p4.bmp,Swing,12,1,101
1,nounverb,p5.bmp,Shake,12,1,101
1,nounverb,p7.bmp,Expand,12,1,101
1,nounverb,p6.bmp,Bounce,12,1,101
1,nounverb,p7.bmp,Shake,12,1,101
1,nounverb,p8.bmp,Rise,12,1,101
1,nounverb,p8.bmp,Expand,12,1,101
1,nounverb,p6.bmp,Hide,12,1,101
1,nounverb,p5.bmp,Hide,12,1,101
1,nounverb,p5.bmp,Rise,12,1,101
1,nounverb,p2.bmp,Rotate,12,1,101
1,nounverb,p3.bmp,Swing,12,0,101
1,nounverb,p1.bmp,Swing,12,1,101
1,nounverb,p2.bmp,Rise,12,1,101
1,nounverb,p6.bmp,Expand,12,1,101
1,nounverb,p2.bmp,Hide,12,1,101
1,nounverb,p1.bmp,Rotate,12,1,101
1,nounverb,p4.bmp,Bounce,12,1,101
1,nounverb,p7.bmp,Contract,12,1,101
1,nounverb,p4.bmp,Contract,12,1,101
1,nounverb,p3.bmp,Rotate,12,0,101
2,nounverb,p6.bmp,Shake,1,0,102
2,nounverb,p3.bmp,Expand,1,1,102
2,nounverb,p3.bmp,Rise,1,0,102
2,nounverb,p6.bmp,Contract,1,1,102
2,nounverb,p5.bmp,Swing,1,1,102
2,nounverb,p1.bmp,Rise,1,1,102
2,nounverb,p5.bmp,Rise,1,0,102
2,nounverb,p2.bmp,Hide,1,1,102
2,nounverb,p4.bmp,Shake,1,1,102
2,nounverb,p5.bmp,Rotate,1,0,102
2,nounverb,p6.bmp,Expand,1,0,102
2,nounverb,p7.bmp,Contract,1,1,102
2,nounverb,p7.bmp,Swing,1,1,102
2,nounverb,p8.bmp,Shake,1,1,102
2,nounverb,p2.bmp,Bounce,1,1,102
2,nounverb,p8.bmp,Hide,1,1,102
2,nounverb,p1.bmp,Expand,1,0,102
2,nounverb,p2.bmp,Rotate,1,0,102
2,nounverb,p1.bmp,Swing,1,0,102
2,nounverb,p4.bmp,Rotate,1,1,102
2,nounverb,p8.bmp,Bounce,1,0,102
2,nounverb,p4.bmp,Bounce,1,0,102
2,nounverb,p3.bmp,Contract,1,0,102
2,nounverb,p7.bmp,Hide,1,1,102
2,nounverb,p4.bmp,Swing,2,0,102
2,nounverb,p6.bmp,Shake,2,1,102
2,nounverb,p3.bmp,Hide,2,0,102
2,nounverb,p4.bmp,Rotate,2,0,102
2,nounverb,p3.bmp,Bounce,2,0,102
2,nounverb,p8.bmp,Expand,2,0,102
2,nounverb,p4.bmp,Hide,2,0,102
2,nounverb,p6.bmp,Hide,2,0,102
2,nounverb,p1.bmp,Expand,2,1,102
2,nounverb,p3.bmp,Expand,2,1,102
2,nounverb,p2.bmp,Contract,2,1,102
2,nounverb,p8.bmp,Bounce,2,1,102
2,nounverb,p5.bmp,Bounce,2,1,102
2,nounverb,p2.bmp,Swing,2,0,102
2,nounverb,p1.bmp,Rise,2,1,102
2,nounverb,p2.bmp,Rotate,2,1,102
2,nounverb,p5.bmp,Contract,2,1,102
2,nounverb,p8.bmp,Shake,2,1,102
2,nounverb,p7.bmp,Swing,2,0,102
2,nounverb,p7.bmp,Contract,2,0,102
2,nounverb,p5.bmp,Rise,2,0,102
2,nounverb,p1.bmp,Shake,2,0,102
2,nounverb,p6.bmp,Rise,2,0,102
2,nounverb,p7.bmp,Rotate,2,1,102
2,nounverb,p8.bmp,Rotate,3,1,102
2,nounverb,p5.bmp,Shake,3,0,102
2,nounverb,p5.bmp,Contract,3,0,102
2,nounverb,p7.bmp,Shake,3,1,102
2,nounverb,p8.bmp,Contract,3,1,102
2,nounverb,p4.bmp,Bounce,3,0,102
2,nounverb,p2.bmp,Expand,3,1,102
2,nounverb,p4.bmp,Contract,3,1,102
2,nounverb,p6.bmp,Bounce,3,0,102
2,nounverb,p6.bmp,Hide,3,0,102
2,nounverb,p2.bmp,Rise,3,0,102
2,nounverb,p4.bmp,Expand,3,1,102
2,nounverb,p6.bmp,Shake,3,0,102
2,nounverb,p8.bmp,Swing,3,1,102
2,nounverb,p5.bmp,Swing,3,0,102
2,nounverb,p1.bmp,Rise,3,0,102
2,nounverb,p7.bmp,Bounce,3,0,102
2,nounverb,p2.bmp,Hide,3,0,102
2,nounverb,p1.bmp,Rotate,3,1,102
2,nounverb,p3.bmp,Rise,3,1,102
2,nounverb,p3.bmp,Rotate,3,0,102
2,nounverb,p1.bmp,Expand,3,0,102
2,nounverb,p7.bmp,Swing,3,1,102
2,nounverb,p3.bmp,Hide,3,0,102
2,nounverb,p1.bmp,Bounce,4,1,102
2,nounverb,p2.bmp,Shake,4,1,102
2,nounverb,p4.bmp,Expand,4,0,102
2,nounverb,p8.bmp,Rise,4,1,102
2,nounverb,p4.bmp,Contract,4,0,102
2,nounverb,p1.bmp,Rotate,4,0,102
2,nounverb,p8.bmp,Hide,4,1,102
2,nounverb,p5.bmp,Rotate,4,0,102
2,nounverb,p5.bmp,Bounce,4,0,102
2,nounverb,p6.bmp,Swing,4,1,102
2,nounverb,p4.bmp,Shake,4,0,102
2,nounverb,p7.bmp,Rise,4,0,102
2,nounverb,p7.bmp,Hide,4,0,102
2,nounverb,p2.bmp,Bounce,4,0,102
2,nounverb,p3.bmp,Rotate,4,1,102
2,nounverb,p3.bmp,Swing,4,0,102
2,nounverb,p6.bmp,Expand,4,0,102
2,nounverb,p2.bmp,Contract,4,1,102
2,nounverb,p8.bmp,Expand,4,0,102
2,nounverb,p1.bmp,Hide,4,1,102
2,nounverb,p6.bmp,Rise,4,1,102
2,nounverb,p7.bmp,Swing,4,1,102
2,nounverb,p3.bmp,Shake,4,0,102
2,nounverb,p5.bmp,Contract,4,1,102
2,nounverb,p2.bmp,Expand,5,1,102
2,nounverb,p3.bmp,Hide,5,0,102
2,nounverb,p4.bmp,Swing,5,1,102
2,nounverb,p5.bmp,Contract,5,1,102
2,nounverb,p6.bmp,Bounce,5,1,102
2,nounverb,p4.bmp,Bounce,5,1,102
2,nounverb,p4.bmp,Hide,5,0,102
2,nounverb,p5.bmp,Hide,5,0,102
2,nounverb,p2.bmp,Swing,5,1,102
2,nounverb,p7.bmp,Swing,5,0,102
2,nounverb,p1.bmp,Shake,5,0,102
2,nounverb,p3.bmp,Rise,5,0,102
2,nounverb,p8.bmp,Contract,5,0,102
2,nounverb,p7.bmp,Rotate,5,1,102
2,nounverb,p3.bmp,Bounce,5,0,102
2,nounverb,p8.bmp,Rise,5,0,102
2,nounverb,p1.bmp,Expand,5,1,102
2,nounverb,p7.bmp,Expand,5,1,102
2,nounverb,p8.bmp,Rotate,5,1,102
2,nounverb,p1.bmp,Rotate,5,0,102
2,nounverb,p6.bmp,Contract,5,0,102
2,nounverb,p5.bmp,Rise,5,1,102
2,nounverb,p6.bmp,Shake,5,1,102
2,nounverb,p2.bmp,Shake,5,1,102
2,nounverb,p2.bmp,Swing,6,1,102
2,nounverb,p6.bmp,Rise,6,1,102
2,nounverb,p3.bmp,Expand,6,1,102
2,nounverb,p3.bmp,Shake,6,0,102
2,nounverb,p4.bmp,Contract,6,0,102
2,nounverb,p6.bmp,Bounce,6,1,102
2,nounverb,p5.bmp,Bounce,6,0,102
2,nounverb,p5.bmp,Hide,6,0,102
2,nounverb,p1.bmp,Rotate,6,1,102
2,nounverb,p2.bmp,Hide,6,1,102
2,nounverb,p8.bmp,Rotate,6,1,102
2,nounverb,p8.bmp,Rise,6,1,102
2,nounverb,p8.bmp,Contract,6,1,102
2,nounverb,p7.bmp,Contract,6,1,102
2,nounverb,p7.bmp,Bounce,6,0,102
2,nounverb,p7.bmp,Shake,6,1,102
2,nounverb,p4.bmp,Expand,6,0,102
2,nounverb,p1.bmp,Swing,6,0,102
2,nounverb,p3.bmp,Rotate,6,0,102
2,nounverb,p1.bmp,Expand,6,1,102
2,nounverb,p4.bmp,Shake,6,0,102
2,nounverb,p2.bmp,Rise,6,0,102
2,nounverb,p6.bmp,Hide,6,0,102
2,nounverb,p5.bmp,Swing,6,1,102
2,nounverb,p7.bmp,Contract,7,0,102
2,nounverb,p4.bmp,Swing,7,1,102
